,Year,State Name,Dist Name,Total_Area_ha,Total_Yield_t_per_ha
9013,1987,Punjab,Sangrur,833660.0000000001,3.033730777535206
9014,1988,Punjab,Sangrur,861930.0000000001,2.836773287854001
9015,1989,Punjab,Sangrur,783910.0000000001,3.4856042147695514
9016,1990,Punjab,Sangrur,791289.9999999998,3.558366717638289
9017,1991,Punjab,Sangrur,873750.0,3.256286123032904
9018,1992,Punjab,Sangrur,837670.0000000002,3.6299258657944047
9019,1993,Punjab,Sangrur,800310.0000000001,3.906048906048905
9020,1994,Punjab,Sangrur,819959.9999999999,3.7084369969266797
9021,1995,Punjab,Sangrur,845320.0,3.4509179955519804
9022,1996,Punjab,Sangrur,794480.0000000001,3.9681804450709897
9023,1997,Punjab,Sangrur,832720.0,3.7985637429147854
9024,1998,Punjab,Sangrur,894440.0,3.4880595679978526
9025,1999,Punjab,Sangrur,899020.0000000001,3.698315944027941
9026,2000,Punjab,Sangrur,887069.9999999999,3.836202329015749
9027,2001,Punjab,Sangrur,892270.0000000001,3.806359061718986
9028,2002,Punjab,Sangrur,891749.9999999999,3.7734454723857582
9029,2003,Punjab,Sangrur,883310.0000000002,3.856449038276481
9030,2004,Punjab,Sangrur,900700.0000000001,4.018097035638947
9031,2005,Punjab,Sangrur,907559.9999999999,3.757690951562432
9032,2006,Punjab,Sangrur,879400.0,4.001330452581305
9033,2007,Punjab,Sangrur,879570.0000000001,4.183123571745284
9034,2008,Punjab,Sangrur,901939.9999999999,4.149522141162383
9035,2009,Punjab,Sangrur,895690.0,4.13376279739642
9036,2010,Punjab,Sangrur,893490.0,4.252157270926367
9037,2011,Punjab,Sangrur,895790.0000000001,4.4058875406066145
9038,2012,Punjab,Sangrur,883180.0000000002,4.468500192486243
9039,2013,Punjab,Sangrur,908310.0000000001,4.506291904746176
9040,2014,Punjab,Sangrur,906480.0000000002,4.21427941046686
9041,2015,Punjab,Sangrur,892560.0000000001,4.37423814645514
9042,2016,Punjab,Sangrur,889660.0000000001,4.738057235348336
9043,2017,Punjab,Sangrur,895720.0,4.858694681373644
9044,1966,Punjab,Patiala,492470.0,0.9691960931630353
9045,1967,Punjab,Patiala,544110.0,1.136902464575178
9046,1968,Punjab,Patiala,525329.9999999999,1.4615574971922414
9047,1969,Punjab,Patiala,536090.0000000001,1.4922867428976472
9048,1970,Punjab,Patiala,584970.0,1.45802348838402
9049,1971,Punjab,Patiala,576550.0,1.5708958459804006
9050,1972,Punjab,Patiala,609499.9999999999,1.4295324036095163
9051,1973,Punjab,Patiala,617320.0,1.59674075034018
9052,1974,Punjab,Patiala,644730.0000000001,1.4770524095357742
9053,1975,Punjab,Patiala,647600.0,1.68113032736257
9054,1976,Punjab,Patiala,648390.0,1.8584493900276065
9055,1977,Punjab,Patiala,669750.0,2.1181037700634566
9056,1978,Punjab,Patiala,714780.0000000001,2.1980189708721563
9057,1979,Punjab,Patiala,691320.0000000001,2.2005728172192325
9058,1980,Punjab,Patiala,696100.0000000002,2.1585979026002002
9059,1981,Punjab,Patiala,714710.0,2.362076926305774
9060,1982,Punjab,Patiala,700760.0000000001,2.613162851760944
9061,1983,Punjab,Patiala,696300.0000000001,2.6672411316961075
9062,1984,Punjab,Patiala,699510.0,2.7730840159540247
9063,1985,Punjab,Patiala,711930.0000000002,3.0265616001573177
9064,1986,Punjab,Patiala,731350.0000000001,2.9061324947015783
9065,1987,Punjab,Patiala,688910.0000000001,3.0886472833897014
9066,1988,Punjab,Patiala,741199.9999999999,2.874797625472207
9067,1989,Punjab,Patiala,670489.9999999999,3.483273426896748
9068,1990,Punjab,Patiala,663479.9999999999,3.529993368300476
9069,1991,Punjab,Patiala,763180.0000000001,3.1883173039125756
9070,1992,Punjab,Patiala,681139.9999999999,3.4848195671961704
9071,1993,Punjab,Patiala,690389.9999999999,3.620504352612292
9072,1994,Punjab,Patiala,711209.9999999999,3.4819532908704884
9073,1995,Punjab,Patiala,724509.9999999999,3.2076575892672294
9074,1996,Punjab,Patiala,712980.0,3.637254901960785
9075,1997,Punjab,Patiala,698249.9999999998,3.486516290726818
9076,1998,Punjab,Patiala,772480.0000000001,3.2605892709196342
9077,1999,Punjab,Patiala,757509.9999999999,3.603965624216182
9078,2000,Punjab,Patiala,765020.0000000001,3.5738150636584654
9079,2001,Punjab,Patiala,759920.0,3.797149699968417
9080,2002,Punjab,Patiala,754569.9999999999,3.4746676915329258
9081,2003,Punjab,Patiala,755750.0000000002,3.5564935494541827
9082,2004,Punjab,Patiala,754839.9999999999,3.7439059933230894
9083,2005,Punjab,Patiala,755529.9999999999,3.629875716384526
9084,2006,Punjab,Patiala,752369.9999999999,3.7890798410356625
9085,2007,Punjab,Patiala,764060.0,3.918501164829988
9086,2008,Punjab,Patiala,759879.9999999999,3.8601358109175132
9087,2009,Punjab,Patiala,744209.9999999999,3.9313231480361726
9088,2010,Punjab,Patiala,747609.9999999998,3.7903051056031893
9089,2011,Punjab,Patiala,753440.0,4.07687407092801
9090,2012,Punjab,Patiala,737570.0000000001,3.9710400368778545
9091,2013,Punjab,Patiala,730430.0000000001,4.062962912257164
9092,2014,Punjab,Patiala,728060.0000000001,3.730008515781665
9093,2015,Punjab,Patiala,729979.9999999999,3.878695306720733
9094,2016,Punjab,Patiala,729540.0,4.2077884694465
9095,2017,Punjab,Patiala,723930.0000000001,4.325045239180583
9096,1966,Haryana,Hissar,1632970.0,0.4679816530615994
9097,1967,Haryana,Hissar,1816330.0,0.6524144841521089
9098,1968,Haryana,Hissar,1250189.9999999995,0.5398379446324162
9099,1969,Haryana,Hissar,1659089.9999999995,0.8309977156151868
9100,1970,Haryana,Hissar,1605889.9999999998,0.8237799600221685
9101,1971,Haryana,Hissar,1673819.9999999998,0.6135665722718094
9102,1972,Haryana,Hissar,1838849.9999999998,0.5432199472496398
9103,1973,Haryana,Hissar,1761359.9999999998,0.5387314348003815
9104,1974,Haryana,Hissar,1503669.9999999998,0.4730426223839009
9105,1975,Haryana,Hissar,1839890.0,0.7123251933539504
9106,1976,Haryana,Hissar,1744080.0,0.8176230448144579
9107,1977,Haryana,Hissar,1915230.0,0.7729619941208105
9108,1978,Haryana,Hissar,1896580.0000000005,0.9259825580782249
9109,1979,Haryana,Hissar,1571240.0,0.7307604185229502
9110,1980,Haryana,Hissar,1939740.0000000002,0.7856723065977914
9111,1981,Haryana,Hissar,2133190.0,0.7132510465546905
9112,1982,Haryana,Hissar,1832560.0,0.9526018247697209
9113,1983,Haryana,Hissar,1958150.0,0.8877256594234356
9114,1984,Haryana,Hissar,1939140.0,0.9059686252668707
9115,1985,Haryana,Hissar,2023930.0000000002,1.1173459556407583
9116,1986,Haryana,Hissar,1992340.0,1.1032755453386474
9117,1987,Haryana,Hissar,1601220.0,0.9668877480920798
9118,1988,Haryana,Hissar,2199920.0,1.3161114949634531
9119,1989,Haryana,Hissar,1858379.9999999998,1.4333505526318624
9120,1990,Haryana,Hissar,1976719.9999999995,1.5679357723906275
9121,1991,Haryana,Hissar,1959659.9999999995,1.5793760142065465
9122,1992,Haryana,Hissar,2045840.0000000005,1.6801167246705506
9123,1993,Haryana,Hissar,2042610.0,1.7548283813356442
9124,1994,Haryana,Hissar,2106210.0,1.8749032622577997
9125,1995,Haryana,Hissar,2157950.0000000005,1.7321671030376047
9126,1996,Haryana,Hissar,2186360.0,1.8855494977954226
9127,1997,Haryana,Hissar,2251840.0000000005,1.6743107858462405
9128,1998,Haryana,Hissar,2450460.0000000005,1.6943471837940627
9129,1999,Haryana,Hissar,2197099.9999999995,1.9738018296845847
9130,2000,Haryana,Hissar,2242840.0000000005,1.9492696759465677
9131,2001,Haryana,Hissar,2408459.9999999995,1.8303397191566395
9132,2002,Haryana,Hissar,2446320.0000000005,1.7521092906896887
9133,2003,Haryana,Hissar,2539209.9999999995,1.9237085550230189
9134,2004,Haryana,Hissar,2627550.0,1.7927004243496794
9135,2005,Haryana,Hissar,2638810.0,1.6574971293878686
9136,2006,Haryana,Hissar,2556770.0,2.120808676572394
9137,2007,Haryana,Hissar,2508990.0000000005,2.0793347123743025
9138,2008,Haryana,Hissar,2534290.0,2.3978234535116347
9139,2009,Haryana,Hissar,2405040.0,2.2080963310381536
9140,2010,Haryana,Hissar,2464520.0000000005,2.5645277782286207
9141,2011,Haryana,Hissar,2434769.9999999995,2.665007372359607
9142,2012,Haryana,Hissar,2477070.0000000005,2.3953057442865964
9143,2013,Haryana,Hissar,2543360.0,2.419728233517866
9144,2014,Haryana,Hissar,2553420.0000000005,2.2982313916237826
9145,2015,Haryana,Hissar,2624620.0,2.240000457209044
9146,2016,Haryana,Hissar,2224999.9999999995,2.9901078651685404
9147,2017,Haryana,Hissar,2289080.0000000005,2.913471787792475
9148,1966,Haryana,Gurgaon,690770.0000000001,0.6301663361176657
9149,1967,Haryana,Gurgaon,831330.0000000002,0.7474769345506596
9150,1968,Haryana,Gurgaon,588080.0,0.7840769963270304
9151,1969,Haryana,Gurgaon,723390.0000000001,0.9751309805222631
9152,1970,Haryana,Gurgaon,704800.0,0.8977014755959136
9153,1971,Haryana,Gurgaon,735910.0,0.7775407318829747
9154,1972,Haryana,Gurgaon,570000.0000000001,0.9882456140350877
9155,1973,Haryana,Gurgaon,564760.0,0.7245555634251718
9156,1974,Haryana,Gurgaon,564649.9999999999,0.8288320198352963
9157,1975,Haryana,Gurgaon,577610.0000000001,1.146621422759301
9158,1976,Haryana,Gurgaon,586760.0000000001,0.9579725952689343
9159,1977,Haryana,Gurgaon,574450.0000000001,0.9490817303507701
9160,1978,Haryana,Gurgaon,585390.0,1.062197851005313
9161,1979,Haryana,Gurgaon,550379.9999999999,1.0343762491369601
9162,1980,Haryana,Gurgaon,583519.9999999999,1.1221551960515495
9163,1981,Haryana,Gurgaon,595179.9999999999,1.1181491313552205
9164,1982,Haryana,Gurgaon,582870.0,1.2714670509719146
9165,1983,Haryana,Gurgaon,616250.0000000001,1.222555780933063
9166,1984,Haryana,Gurgaon,609730.0,1.113935676446952
9167,1985,Haryana,Gurgaon,584189.9999999999,1.3985176055735296
9168,1986,Haryana,Gurgaon,622060.0000000001,1.0510240169758545
9169,1987,Haryana,Gurgaon,553980.0,1.184880320589191
9170,1988,Haryana,Gurgaon,655170.0000000001,1.4973213059206005
9171,1989,Haryana,Gurgaon,543089.9999999999,1.5514923861606735
9172,1990,Haryana,Gurgaon,612830.0,1.6585349933913156
9173,1991,Haryana,Gurgaon,566610.0,1.6851096874393323
9174,1992,Haryana,Gurgaon,579209.9999999999,1.8028694255969338
9175,1993,Haryana,Gurgaon,580970.0,1.9150214296779529
9176,1994,Haryana,Gurgaon,577220.0000000001,2.0282387997643876
9177,1995,Haryana,Gurgaon,579099.9999999999,1.9852702469348993
9178,1996,Haryana,Gurgaon,576519.9999999999,2.156629431762992
9179,1997,Haryana,Gurgaon,584280.0,2.0979667282809618
